,cobertura,edad,varon,mujer,total,provincia_id
0,,,,,,2
2,Obra social o prepaga (incluye PAMI),,Mujer/Femenino,Varón/Masculino,Total,2
3,Obra social o prepaga (incluye PAMI),0,8381,8741,17122,2
4,Obra social o prepaga (incluye PAMI),1,8344,8506,16850,2
5,Obra social o prepaga (incluye PAMI),2,9390,9536,18926,2
6,Obra social o prepaga (incluye PAMI),3,10078,10590,20668,2
7,Obra social o prepaga (incluye PAMI),4,11054,11344,22398,2
8,Obra social o prepaga (incluye PAMI),5,11921,12379,24300,2
9,Obra social o prepaga (incluye PAMI),6,12225,12803,25028,2
10,Obra social o prepaga (incluye PAMI),7,12867,13338,26205,2
11,Obra social o prepaga (incluye PAMI),8,12884,13113,25997,2
12,Obra social o prepaga (incluye PAMI),9,12618,13386,26004,2
13,Obra social o prepaga (incluye PAMI),10,12664,12984,25648,2
14,Obra social o prepaga (incluye PAMI),11,13237,13775,27012,2
15,Obra social o prepaga (incluye PAMI),12,13249,13714,26963,2
16,Obra social o prepaga (incluye PAMI),13,13097,13385,26482,2
17,Obra social o prepaga (incluye PAMI),14,12491,13206,25697,2
18,Obra social o prepaga (incluye PAMI),15,12870,13322,26192,2
19,Obra social o prepaga (incluye PAMI),16,13378,13340,26718,2
20,Obra social o prepaga (incluye PAMI),17,13812,14019,27831,2
21,Obra social o prepaga (incluye PAMI),18,15055,14840,29895,2
22,Obra social o prepaga (incluye PAMI),19,15105,14416,29521,2
23,Obra social o prepaga (incluye PAMI),20,15377,14588,29965,2
24,Obra social o prepaga (incluye PAMI),21,15375,14010,29385,2
25,Obra social o prepaga (incluye PAMI),22,15637,14337,29974,2
26,Obra social o prepaga (incluye PAMI),23,15572,13921,29493,2
27,Obra social o prepaga (incluye PAMI),24,15830,14180,30010,2
28,Obra social o prepaga (incluye PAMI),25,16642,14811,31453,2
29,Obra social o prepaga (incluye PAMI),26,16875,15109,31984,2
30,Obra social o prepaga (incluye PAMI),27,17883,15792,33675,2
31,Obra social o prepaga (incluye PAMI),28,17788,15877,33665,2
32,Obra social o prepaga (incluye PAMI),29,19057,16616,35673,2
