,cobertura,edad,varon,mujer,total,provincia
4,Obra social o prepaga (incluye PAMI),0,8381,8741,17122,Caba
5,Obra social o prepaga (incluye PAMI),1,8344,8506,16850,Caba
6,Obra social o prepaga (incluye PAMI),2,9390,9536,18926,Caba
7,Obra social o prepaga (incluye PAMI),3,10078,10590,20668,Caba
8,Obra social o prepaga (incluye PAMI),4,11054,11344,22398,Caba
9,Obra social o prepaga (incluye PAMI),5,11921,12379,24300,Caba
10,Obra social o prepaga (incluye PAMI),6,12225,12803,25028,Caba
11,Obra social o prepaga (incluye PAMI),7,12867,13338,26205,Caba
12,Obra social o prepaga (incluye PAMI),8,12884,13113,25997,Caba
13,Obra social o prepaga (incluye PAMI),9,12618,13386,26004,Caba
14,Obra social o prepaga (incluye PAMI),10,12664,12984,25648,Caba
15,Obra social o prepaga (incluye PAMI),11,13237,13775,27012,Caba
16,Obra social o prepaga (incluye PAMI),12,13249,13714,26963,Caba
17,Obra social o prepaga (incluye PAMI),13,13097,13385,26482,Caba
18,Obra social o prepaga (incluye PAMI),14,12491,13206,25697,Caba
19,Obra social o prepaga (incluye PAMI),15,12870,13322,26192,Caba
20,Obra social o prepaga (incluye PAMI),16,13378,13340,26718,Caba
21,Obra social o prepaga (incluye PAMI),17,13812,14019,27831,Caba
22,Obra social o prepaga (incluye PAMI),18,15055,14840,29895,Caba
23,Obra social o prepaga (incluye PAMI),19,15105,14416,29521,Caba
24,Obra social o prepaga (incluye PAMI),20,15377,14588,29965,Caba
25,Obra social o prepaga (incluye PAMI),21,15375,14010,29385,Caba
26,Obra social o prepaga (incluye PAMI),22,15637,14337,29974,Caba
27,Obra social o prepaga (incluye PAMI),23,15572,13921,29493,Caba
28,Obra social o prepaga (incluye PAMI),24,15830,14180,30010,Caba
29,Obra social o prepaga (incluye PAMI),25,16642,14811,31453,Caba
30,Obra social o prepaga (incluye PAMI),26,16875,15109,31984,Caba
31,Obra social o prepaga (incluye PAMI),27,17883,15792,33675,Caba
32,Obra social o prepaga (incluye PAMI),28,17788,15877,33665,Caba
33,Obra social o prepaga (incluye PAMI),29,19057,16616,35673,Caba
34,Obra social o prepaga (incluye PAMI),30,20366,18036,38402,Caba
35,Obra social o prepaga (incluye PAMI),31,20676,18343,39019,Caba
36,Obra social o prepaga (incluye PAMI),32,20537,18435,38972,Caba
37,Obra social o prepaga (incluye PAMI),33,21042,18742,39784,Caba
38,Obra social o prepaga (incluye PAMI),34,20377,18490,38867,Caba
39,Obra social o prepaga (incluye PAMI),35,21336,19268,40604,Caba
40,Obra social o prepaga (incluye PAMI),36,20843,18750,39593,Caba
41,Obra social o prepaga (incluye PAMI),37,20387,18513,38900,Caba
42,Obra social o prepaga (incluye PAMI),38,20057,18217,38274,Caba
43,Obra social o prepaga (incluye PAMI),39,19819,17872,37691,Caba
44,Obra social o prepaga (incluye PAMI),40,21122,18548,39670,Caba
45,Obra social o prepaga (incluye PAMI),41,19859,17596,37455,Caba
46,Obra social o prepaga (incluye PAMI),42,20774,18302,39076,Caba
47,Obra social o prepaga (incluye PAMI),43,20352,17607,37959,Caba
48,Obra social o prepaga (incluye PAMI),44,20144,17382,37526,Caba
49,Obra social o prepaga (incluye PAMI),45,20699,17683,38382,Caba
50,Obra social o prepaga (incluye PAMI),46,20183,17120,37303,Caba
51,Obra social o prepaga (incluye PAMI),47,19677,16649,36326,Caba
52,Obra social o prepaga (incluye PAMI),48,18472,15530,34002,Caba
53,Obra social o prepaga (incluye PAMI),49,18242,15287,33529,Caba
54,Obra social o prepaga (incluye PAMI),50,18641,15714,34355,Caba
55,Obra social o prepaga (incluye PAMI),51,17173,14324,31497,Caba
56,Obra social o prepaga (incluye PAMI),52,16671,13927,30598,Caba
57,Obra social o prepaga (incluye PAMI),53,16088,13454,29542,Caba
58,Obra social o prepaga (incluye PAMI),54,16088,12835,28923,Caba
59,Obra social o prepaga (incluye PAMI),55,15683,12875,28558,Caba
60,Obra social o prepaga (incluye PAMI),56,15689,12676,28365,Caba
61,Obra social o prepaga (incluye PAMI),57,15841,12564,28405,Caba
62,Obra social o prepaga (incluye PAMI),58,15394,12154,27548,Caba
63,Obra social o prepaga (incluye PAMI),59,16003,12779,28782,Caba
64,Obra social o prepaga (incluye PAMI),60,16516,12657,29173,Caba
65,Obra social o prepaga (incluye PAMI),61,15748,11936,27684,Caba
66,Obra social o prepaga (incluye PAMI),62,16364,12211,28575,Caba
67,Obra social o prepaga (incluye PAMI),63,16251,11822,28073,Caba
68,Obra social o prepaga (incluye PAMI),64,16019,11440,27459,Caba
69,Obra social o prepaga (incluye PAMI),65,16999,12081,29080,Caba
70,Obra social o prepaga (incluye PAMI),66,16164,11422,27586,Caba
71,Obra social o prepaga (incluye PAMI),67,15997,11261,27258,Caba
72,Obra social o prepaga (incluye PAMI),68,15535,10888,26423,Caba
73,Obra social o prepaga (incluye PAMI),69,16028,11168,27196,Caba
74,Obra social o prepaga (incluye PAMI),70,16024,11008,27032,Caba
75,Obra social o prepaga (incluye PAMI),71,15304,10582,25886,Caba
76,Obra social o prepaga (incluye PAMI),72,15393,10363,25756,Caba
77,Obra social o prepaga (incluye PAMI),73,14477,9902,24379,Caba
78,Obra social o prepaga (incluye PAMI),74,14289,9448,23737,Caba
79,Obra social o prepaga (incluye PAMI),75,14293,9027,23320,Caba
80,Obra social o prepaga (incluye PAMI),76,13955,8650,22605,Caba
81,Obra social o prepaga (incluye PAMI),77,13226,8157,21383,Caba
82,Obra social o prepaga (incluye PAMI),78,12424,7389,19813,Caba
83,Obra social o prepaga (incluye PAMI),79,11303,6746,18049,Caba
84,Obra social o prepaga (incluye PAMI),80,10762,6057,16819,Caba
85,Obra social o prepaga (incluye PAMI),81,9828,5598,15426,Caba
86,Obra social o prepaga (incluye PAMI),82,9446,5077,14523,Caba
87,Obra social o prepaga (incluye PAMI),83,8523,4447,12970,Caba
88,Obra social o prepaga (incluye PAMI),84,7706,4045,11751,Caba
89,Obra social o prepaga (incluye PAMI),85,7098,3541,10639,Caba
90,Obra social o prepaga (incluye PAMI),86,6594,3161,9755,Caba
91,Obra social o prepaga (incluye PAMI),87,6014,2846,8860,Caba
92,Obra social o prepaga (incluye PAMI),88,5276,2360,7636,Caba
93,Obra social o prepaga (incluye PAMI),89,5083,2058,7141,Caba
94,Obra social o prepaga (incluye PAMI),90,4518,1789,6307,Caba
95,Obra social o prepaga (incluye PAMI),91,3866,1531,5397,Caba
96,Obra social o prepaga (incluye PAMI),92,3242,1153,4395,Caba
97,Obra social o prepaga (incluye PAMI),93,2704,885,3589,Caba
98,Obra social o prepaga (incluye PAMI),94,2156,675,2831,Caba
99,Obra social o prepaga (incluye PAMI),95,1492,507,1999,Caba
100,Obra social o prepaga (incluye PAMI),96,1204,354,1558,Caba
101,Obra social o prepaga (incluye PAMI),97,928,262,1190,Caba
102,Obra social o prepaga (incluye PAMI),98,569,146,715,Caba
103,Obra social o prepaga (incluye PAMI),99,420,100,520,Caba
104,Obra social o prepaga (incluye PAMI),100,221,49,270,Caba
105,Obra social o prepaga (incluye PAMI),101,133,21,154,Caba
106,Obra social o prepaga (incluye PAMI),102,89,16,105,Caba
107,Obra social o prepaga (incluye PAMI),103,54,12,66,Caba
108,Obra social o prepaga (incluye PAMI),104,37,5,42,Caba
109,Obra social o prepaga (incluye PAMI),105,14,5,19,Caba
110,Obra social o prepaga (incluye PAMI),106,11,1,12,Caba
111,Obra social o prepaga (incluye PAMI),107,10,2,12,Caba
112,Obra social o prepaga (incluye PAMI),108,6,3,9,Caba
113,Obra social o prepaga (incluye PAMI),109,8,3,11,Caba
114,Obra social o prepaga (incluye PAMI),110,4,-,4,Caba
116,Programas o planes estatales de salud,,Mujer/Femenino,Varón/Masculino,Total,Caba
117,Programas o planes estatales de salud,0,267,296,563,Caba
118,Programas o planes estatales de salud,1,262,295,557,Caba
119,Programas o planes estatales de salud,2,319,329,648,Caba
120,Programas o planes estatales de salud,3,374,384,758,Caba
121,Programas o planes estatales de salud,4,452,395,847,Caba
122,Programas o planes estatales de salud,5,434,439,873,Caba
123,Programas o planes estatales de salud,6,439,457,896,Caba
124,Programas o planes estatales de salud,7,472,479,951,Caba
125,Programas o planes estatales de salud,8,479,486,965,Caba
126,Programas o planes estatales de salud,9,500,526,1026,Caba
127,Programas o planes estatales de salud,10,463,483,946,Caba
128,Programas o planes estatales de salud,11,406,564,970,Caba
129,Programas o planes estatales de salud,12,482,525,1007,Caba
130,Programas o planes estatales de salud,13,500,497,997,Caba
131,Programas o planes estatales de salud,14,510,477,987,Caba
132,Programas o planes estatales de salud,15,487,505,992,Caba
