,cobertura,edad,mujer,total,provincia_id,año
3,Con cobertura,0,5544,11450,2,2010
4,Con cobertura,1,5830,11059,2,2010
5,Con cobertura,2,5608,11452,2,2010
6,Con cobertura,3,5130,10591,2,2010
7,Con cobertura,4,5811,11719,2,2010
8,Con cobertura,5,5610,11406,2,2010
9,Con cobertura,6,6314,12449,2,2010
10,Con cobertura,7,5633,11574,2,2010
11,Con cobertura,8,5551,11549,2,2010
12,Con cobertura,9,5625,11414,2,2010
13,Con cobertura,10,5994,12255,2,2010
14,Con cobertura,11,5642,11237,2,2010
15,Con cobertura,12,5734,11945,2,2010
16,Con cobertura,13,6132,11953,2,2010
17,Con cobertura,14,5955,12610,2,2010
18,Con cobertura,15,6188,12626,2,2010
19,Con cobertura,16,6136,12338,2,2010
20,Con cobertura,17,6320,12486,2,2010
21,Con cobertura,18,7354,14468,2,2010
22,Con cobertura,19,7979,15911,2,2010
23,Con cobertura,20,8607,17115,2,2010
24,Con cobertura,21,8198,16437,2,2010
25,Con cobertura,22,8331,16461,2,2010
26,Con cobertura,23,9613,18214,2,2010
27,Con cobertura,24,9398,18992,2,2010
28,Con cobertura,25,8950,17965,2,2010
29,Con cobertura,26,8657,17887,2,2010
30,Con cobertura,27,9056,18406,2,2010
31,Con cobertura,28,9762,19385,2,2010
32,Con cobertura,29,8913,18469,2,2010
33,Con cobertura,30,10351,20891,2,2010
34,Con cobertura,31,9489,18942,2,2010
35,Con cobertura,32,9301,18271,2,2010
36,Con cobertura,33,9452,18210,2,2010
37,Con cobertura,34,9308,17723,2,2010
38,Con cobertura,35,9041,17097,2,2010
39,Con cobertura,36,8705,16798,2,2010
40,Con cobertura,37,8106,15960,2,2010
41,Con cobertura,38,8053,15357,2,2010
42,Con cobertura,39,7932,15828,2,2010
43,Con cobertura,40,8034,15497,2,2010
44,Con cobertura,41,7625,14793,2,2010
45,Con cobertura,42,7368,14140,2,2010
46,Con cobertura,43,7591,13635,2,2010
