,departamento_id,departamento_nombre,provincia_id
0,84,SUSQUES,38
1,63,SAN PEDRO,38
2,21,ESCALANTE,26
3,35,FUTALEUFÚ,26
4,35,FUTALEUFÚ,26
5,35,FUTALEUFÚ,26
6,21,ESCALANTE,26
7,21,ESCALANTE,26
8,21,ESCALANTE,26
9,21,ESCALANTE,26
10,21,ESCALANTE,26
11,21,ESCALANTE,26
12,112,SAN PEDRO,54
13,21,ESCALANTE,26
14,21,ESCALANTE,26
15,105,TELSEN,26
16,14,CUSHAMEN,26
17,14,CUSHAMEN,26
18,14,CUSHAMEN,26
19,14,CUSHAMEN,26
20,1,COMUNA 1,2
21,3,COMUNA 3,2
22,182,SARMIENTO,86
23,105,MARACÓ,42
24,70,BARADERO,6
25,84,CAPITAL,90
26,21,CHICLIGASTA,90
27,140,SAN FERNANDO,22
28,140,SAN FERNANDO,22
29,140,SAN FERNANDO,22
30,140,SAN FERNANDO,22
31,140,SAN FERNANDO,22
32,36,12 DE OCTUBRE,22
33,35,CONFLUENCIA,58
34,28,CAPITAL,66
35,28,CAPITAL,66
36,28,CAPITAL,66
37,36,12 DE OCTUBRE,22
38,36,12 DE OCTUBRE,22
39,35,CERRILLOS ,66
40,126,1º DE MAYO,22
41,14,BERMEJO,22
42,39,2 DE ABRIL,22
43,119,SAN LORENZO,82
44,84,ROSARIO,82
45,105,9 DE JULIO,22
46,140,SAN FERNANDO,22
47,140,SAN FERNANDO,22
48,28,CHACABUCO,22
49,36,12 DE OCTUBRE,22
50,77,MALARGÜE,50
51,42,GOBERNADOR DUPUY,74
52,35,CONFLUENCIA,58
53,35,CONFLUENCIA,58
54,35,CONFLUENCIA,58
55,35,CONFLUENCIA,58
56,35,CONFLUENCIA,58
57,35,CONFLUENCIA,58
58,56,GRL. JOSÉ DE SAN MARTÍN,66
59,63,GENERAL GÜEMES,22
60,63,GENERAL GÜEMES,22
61,119,MOLINOS,66
62,98,VINCHINA,46
63,91,PUNILLA,14
64,140,SAN JUSTO,14
65,14,CAPITAL,46
66,77,RAWSON,26
67,77,RAWSON,26
68,7,BIEDMA,26
69,77,RAWSON,26
70,35,FUTALEUFÚ,26
71,658,QUILMES,6
72,760,SAN MIGUEL,6
73,749,SAN FERNANDO,6
74,119,QUEMÚ QUEMÚ,42
75,2,COMUNA 2,2
76,21,CAPITAL,42
77,140,SAN FERNANDO,22
78,140,SAN FERNANDO,22
79,140,SAN FERNANDO,22
80,140,SAN FERNANDO,22
81,63,GUACHIPAS,66
82,14,BELGRANO,74
83,84,ROSARIO,82
84,70,IRUYA,66
85,140,SAN FERNANDO,22
86,119,SAN LORENZO,82
87,119,SAN LORENZO,82
88,39,2 DE ABRIL,22
89,35,FUTALEUFÚ,26
90,35,FUTALEUFÚ,26
91,35,FUTALEUFÚ,26
92,84,CAPITAL,90
93,35,GENERAL PEDERNERA,74
94,98,PICÚN LEUFÚ,58
95,113,ZAPALA ,58
96,112,ZAPALA ,58
97,105,PICUNCHES,58
98,91,PEHUENCHES,58
99,56,LÁCAR,58
100,21,ESCALANTE,26
101,21,ESCALANTE,26
102,21,ESCALANTE,26
103,77,RAWSON,26
104,7,BIEDMA,26
105,77,RAWSON,26
106,7,BIEDMA,26
107,77,RAWSON,26
108,77,RAWSON,26
109,77,GENERAL TABOADA,86
110,665,RAMALLO,6
111,371,GENERAL SAN MARTÍN,6
112,861,VICENTE LÓPEZ,6
113,749,SAN FERNANDO,6
114,119,MOLINOS,66
115,77,SANTA CATALINA,38
116,112,YAVI,38
117,98,MAYOR LUIS J. FONTANA,22
118,28,CHACABUCO,22
119,112,YAVI,38
120,49,JUNÍN,74
121,7,AYACUCHO,74
122,28,CAPITAL,54
123,42,GOBERNADOR DUPUY,74
124,42,GOBERNADOR DUPUY,74
125,42,GOBERNADOR DUPUY,74
126,35,GENERAL PEDERNERA,74
127,35,GENERAL PEDERNERA,74
128,42,EMPEDRADO,18
129,28,CHACABUCO,22
130,140,SAN FERNANDO,22
131,140,SAN FERNANDO,22
132,21,CAPITAL,18
133,49,GENERAL GÜEMES,66
134,14,FORMOSA,34
135,14,FORMOSA,34
136,49,GUALEGUAY,30
137,49,GUALEGUAY,30
138,658,QUILMES,6
139,260,ESTEBAN ECHEVERRÍA,6
140,35,FUTALEUFÚ,26
141,56,LÁCAR,58
142,35,CONFLUENCIA,58
143,441,LA PLATA,6
144,441,LA PLATA,6
145,441,LA PLATA,6
