,establecimiento_id,establecimiento_nombre,origen_financiamiento,departamento_id,provincia_id,tipologia_nombre
0,50380842150137,PUESTO EL TORO (17),Provincial,84,38,Sin atención médica en forma periódica (menor a 3 veces por semana)
1,50380632150075,PUESTO BARRO NEGRO (9) (EX LOTE ROSARIO DE RIO GRANDE),Provincial,63,38,Con atención médica general por lo menos 3 días de la semana
2,50260212329179,KIN SPORT,Privado,21,26,Con atención médica diaria y con especialidades y/o otras profesiones
3,51260352329290,LABORATORIO ANALISIS CLINICOS GEROSA,Privado,35,26,Laboratorio de Análisis Clínicos
4,51260352329289,LABORATORIO ANALISIS CLINICOS,Privado,35,26,Laboratorio de Análisis Clínicos
5,51260352329293,LABORATORIO DRA. SALVAGNO,Privado,35,26,Laboratorio de Anatomía patológica
6,51260212329299,LABORATORIO DE HISTOPATOLOGIA Y CITOLOGIA,Privado,21,26,Laboratorio de Anatomía patológica
7,51260212329297,LABORATORIO DE ANALISIS CLINICOS (STROBL),Privado,21,26,Laboratorio de Análisis Clínicos
8,51260212329298,INSAT  - LABORATORIO DE ANATOMIA PATOLOGICA,Privado,21,26,Laboratorio de Anatomía patológica
9,52260212329318,LITIASIS CENTRO CHUBUT,Privado,21,26,Otros
10,50260212329186,ODONTOLOGIA DEL PLATA,Privado,21,26,Con atención médica diaria y con especialidades y/o otras profesiones
11,50260212329187,ODONTOLOGIA INTEGRAL,Privado,21,26,Con atención médica diaria y con especialidades y/o otras profesiones
12,50541122265191,C.A.P.S. PUERTO ARGENTINO 1,Municipal,112,54,Sin atención médica en forma periódica (menor a 3 veces por semana)
13,50260212329190,OSECAC (COMODORO RIVADAVIA),Privado,21,26,Con atención médica diaria y con especialidades y/o otras profesiones
14,50260212329192,PATAGONIA SALUD -P.S.M.T.-  (MEDICINA DEL TRABAJO),Privado,21,26,Con atención médica diaria y con especialidades y/o otras profesiones
15,50261052129207,PUESTO SANITARIO CHACAY OESTE,Provincial,105,26,Con guardia permanente
16,50260142129210,PUESTO SANITARIO CURRUMAHUIDA,Provincial,14,26,Con atención médica diaria y con especialidades y/o otras profesiones
17,50260142129229,PUESTO SANITARIO LAS GOLONDRINAS,Provincial,14,26,Con guardia permanente
18,50260142129220,PUESTO SANITARIO FOFO CAHUEL,Provincial,14,26,Sin atención médica en forma periódica (menor a 3 veces por semana)
19,50260142129223,PUESTO SANITARIO LA CATARATA,Provincial,14,26,Sin atención médica en forma periódica (menor a 3 veces por semana)
20,50020012315826,CENTRO MEDICO MADEROMED,Privado,1,2,Con atención médica diaria y con especialidades y/o otras profesiones
21,50020012315856,CENTRO ODONTOLOGICO URQUIZA,Privado,3,2,Con atención médica diaria y con especialidades y/o otras profesiones
22,50861822192547,PUESTO SANITARIO COLONIA SIEGEL (HOSP SUNCHO CORRAL),Provincial,182,86,Sin atención médica en forma periódica (menor a 3 veces por semana)
23,51421052353340,LABORATORIO DE ANALISIS CLINICOS SILVANA ACTIS GIORGETTO,Privado,105,42,Laboratorio de Análisis Clínicos
24,53060702303264,CEM CENTRO DE EMERGENCIAS MEDICAS BASE BARADERO,Privado,70,6,Sistema de Atención extra hospitalaria
25,53900842396826,SOREMER S.A.,Privado,84,90,Sistema de Atención extra hospitalaria
26,50900212396556,SERVICIO PRIVADO DE HEMOTERAPIA (HEMOSS),Privado,21,90,Con atención médica diaria y con especialidades y/o otras profesiones
27,50221402126128,CENTRO DE SALUD BARRIO CIUDAD DE LOS MILAGROS BARRANQUERAS,Provincial,140,22,Con atención médica diaria y con especialidades y/o otras profesiones
28,50221402126478,CENTRO DE SALUD VILLA GHIO DR. ALVAREZ LOTERO,Provincial,140,22,Con atención médica diaria y con especialidades y/o otras profesiones
29,50221402126172,CENTRO DE SALUD CACIQUE PELAYO,Provincial,140,22,Con atención médica diaria y con especialidades y/o otras profesiones
30,50221402126140,CENTRO DE SALUD BARRIO ESPAÑA,Provincial,140,22,Con atención médica diaria y con especialidades y/o otras profesiones
31,50221402126141,CENTRO DE SALUD DOCTORA GRIERSON,Provincial,140,22,Con atención médica diaria y con especialidades y/o otras profesiones
32,50220362126139,CENTRO DE SALUD BARRIO EL CEIBO,Provincial,36,22,Con atención médica diaria y con especialidades y/o otras profesiones
33,52580352367218,CENTRO AXIS MEDICINA Y REHABILITACION,Privado,35,58,Centro Rehabilitación motora
34,50660282373502,SERVICIO MEDICO SALTA SRL,Privado,28,66,Sistema de Atención extra hospitalaria
